"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"AntsAlf100-200.nlogo"
"experiment"
"12/10/2024 22:18:27:974 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","population","diffusion-rate","evaporation-rate","[step]","total-food"
"13","125","0","1","200","62"
"16","125","0","1","200","53"
"11","125","0","1","200","53"
"15","125","0","1","200","56"
"5","125","0","0","200","61"
"8","125","0","0","200","65"
"4","125","0","0","200","52"
"2","125","0","0","200","54"
"18","125","0","1","200","49"
"9","125","0","0","200","59"
"17","125","0","1","200","59"
"10","125","0","0","200","51"
"14","125","0","1","200","60"
"7","125","0","0","200","63"
"6","125","0","0","200","60"
"19","125","0","1","200","60"
"12","125","0","1","200","62"
"3","125","0","0","200","62"
"21","125","0","2","200","58"
"22","125","0","2","200","51"
"24","125","0","2","200","58"
"23","125","0","2","200","50"
"20","125","0","1","200","52"
"25","125","0","2","200","50"
"27","125","0","2","200","62"
"32","125","0","3","200","57"
"35","125","0","3","200","57"
"36","125","0","3","200","48"
"37","125","0","3","200","54"
"39","125","0","3","200","51"
"38","125","0","3","200","52"
"41","125","0","4","200","64"
"40","125","0","3","200","54"
"26","125","0","2","200","62"
"28","125","0","2","200","58"
"42","125","0","4","200","54"
"43","125","0","4","200","50"
"45","125","0","4","200","55"
"44","125","0","4","200","62"
"46","125","0","4","200","52"
"47","125","0","4","200","71"
"34","125","0","3","200","62"
"1","125","0","0","200","57"
"48","125","0","4","200","56"
"29","125","0","2","200","50"
"33","125","0","3","200","64"
"49","125","0","4","200","62"
"31","125","0","3","200","56"
"30","125","0","2","200","53"
"52","125","0","5","200","58"
"53","125","0","5","200","57"
"54","125","0","5","200","56"
"55","125","0","5","200","53"
"56","125","0","5","200","48"
"57","125","0","5","200","51"
"60","125","0","5","200","54"
"63","125","0","6","200","68"
"51","125","0","5","200","58"
"50","125","0","4","200","45"
"62","125","0","6","200","63"
"58","125","0","5","200","54"
"61","125","0","6","200","68"
"65","125","0","6","200","48"
"66","125","0","6","200","46"
"67","125","0","6","200","52"
"64","125","0","6","200","51"
"68","125","0","6","200","55"
"69","125","0","6","200","62"
"70","125","0","6","200","63"
"71","125","0","7","200","51"
"72","125","0","7","200","54"
"73","125","0","7","200","63"
"74","125","0","7","200","68"
"75","125","0","7","200","66"
"76","125","0","7","200","47"
"77","125","0","7","200","56"
"80","125","0","7","200","53"
"81","125","0","8","200","56"
"78","125","0","7","200","59"
"79","125","0","7","200","52"
"83","125","0","8","200","53"
"82","125","0","8","200","53"
"84","125","0","8","200","57"
"85","125","0","8","200","51"
"87","125","0","8","200","62"
"86","125","0","8","200","50"
"88","125","0","8","200","50"
"89","125","0","8","200","53"
"91","125","0","9","200","67"
"90","125","0","8","200","57"
"94","125","0","9","200","53"
"93","125","0","9","200","54"
"95","125","0","9","200","53"
"92","125","0","9","200","62"
"97","125","0","9","200","56"
"96","125","0","9","200","55"
"99","125","0","9","200","55"
"101","125","0","10","200","50"
"103","125","0","10","200","56"
"98","125","0","9","200","51"
"100","125","0","9","200","58"
"102","125","0","10","200","59"
"104","125","0","10","200","57"
"105","125","0","10","200","50"
"107","125","0","10","200","60"
"108","125","0","10","200","56"
"106","125","0","10","200","56"
